WWKYPR05	al-Tabsira[Ahlwardt no.: 5962; Glas. 40]	Glas. 40
AY4RFZ2F	Muntaha al-idrak	Lbg. 33
RXBT90D9	al-Kamil li-al-Farghani[Ahlwardt no.: 5790; Lbg. 56]	Lbg. 56
6ZFW5P6F	Suwar al-kawakib[Ahlwardt no.: 5658; Lbg. 71]	Lbg. 71
TMDNMV96	Islah al-majasti[Ahlwardt no.: 5653; Lbg. 132]	Lbg. 132
CQ0V4D71	Tadil al-ulum[Ahlwardt no.: 5683; Lbg. 144]	Lbg. 144
QTB5X5EU	Idad al-asrar; [Ahlwardt no.: 5970-5972; Lbg. 199]	Lbg. 199
AF5VB2H8	Risala fi nafs al-amr, Nasiraddin at-Tusi, ff. 1-2a[Ahlwardt no.: 5357; Lbg. 368];Risala fi sharh al-Risala fi Nafs al-amr, Shams al-Din al-Kishi, ff. 2b-12[Ahlwardt no.: 5360; Lbg. 368];Risala fi Baqa’ al-nafs[Ahlwardt no.: 5355; Lbg. 368];Nasiraddin al-Tusi, ff. 31b-33b[Ahlwardt no.: 5127; Lbg. 368];Fawaid, Nasiraddin at-Tusi, ff. 33b-35b[Ahlwardt no.: 5342; Lbg. 368];Risala fi Nafs al-natiqa, Ibn Sina, ff. 37a-40a[Ahlwardt no.: 5343; Lbg. 368];Risala fi Ahwal an-nafs, Ibn Sina, ff. 40-65a[Ahlwardt no.: 5339; Lbg. 368];Maqala fi al-‘aql, Farabi, ff. 117a-120b[Ahlwardt no.: ; Lbg. 368]	Lbg. 368
75F1C6EC	Sharh Tahrir al-majasti[Ahlwardt no.: 5656; Lbg. 493]	Lbg. 493
9NTY13X5	al-Irshad[Ahlwardt no.: 5997; Lbg. 656]	Lbg. 656
Z612GY1B	al-Tabsira[Ahlwardt no.: 5670; Lbg. 669]	Lbg. 669
WCDH5WZB	Hashiya al-Birjandi[Ahlwardt no.: 5677; Lbg. 720]	Lbg. 720
FT55FQ4T	Risala fi taqaddum al-‘illa at-tamma[Ahlwardt no.: 5136; Lbg. 880]; INCLUDES Jalaladdin al-Dawani, f. 30, Ahlwardt no.: 5139;Risala fi al-Mahiyya, Samsunizade, ff. 31b-37a, Ahlwardt no.: 5346;Risala fi Bayan al-nafs an-natiqa, Ibn Kamal, ff. 39b-40a	Lbg. 880
YAYZVXFV	Mabahith al-mashriqiyya, Fakhr al-Din al-Razi[Ahlwardt no.: 5064; Mq. 13]	Mq. 13
YPQBBF6W	Sharh ashkal[Ahlwardt no.: 5943; Mq. 53]	Mq. 53
6RQNSE0Y	Hawashi ala sharh al-isharat, Badraddin at-Tustari[Ahlwardt no.: 5051; Mq. 58]	Mq. 58
4KDV4B28	Maqasid al-falasifa, Ghazali[Ahlwardt no.: 5059; Mq. 59]	Mq. 59
U58SNM52	Zij Kushyar[Ahlwardt no.: 5751; Mq. 101]	Mq. 101
GZ7MYVVT	Risala sharifa fi ilm al-haya[Ahlwardt no.: 5725; Mo. 109]	Mo. 109
WTC2BK80	an unknown philosophical work, ff. 99-108[Ahlwardt no.: 5074; Mq. 119]	Mq. 119
K7K1KN8F	Sharh Hidayat al-hikma, anonymous, ff. 369-421[Ahlwardt no.: 5073; Mq. 122]	Mq. 122
5WS5ZYHK	Tahrir Oklides[Ahlwardt no.: 5918; Mf. 256]	Mf. 256
HB6ARSZF	Ihtisar al-majasti[Ahlwardt no.: 5654; Mo. 273]	Mo. 273
XF9CP4QE	Hashiya Majasti[Ahlwardt no.: 5657; Mo. 274]	Mo. 274
A1A6XD7W	Kanun Masudi[Ahlwardt no.: 5667; Mo. 275]	Mo. 275
TPSHV2XY	Hashiya Mulla Mirzajan ala Sharh al-Isharat[Ahlwardt no.: 5054; Min. 32]	Min. 32
ZEE6XUA0	Tafrih al-idrak[Ahlwardt no.: 5704; Min. 190]	Min. 190
7KTQZUX7	el-Tafhim[Ahlwardt no.: 5665; Pet. 67]	Pet. 67
KM9XSNZ5	Sharh Hikmat al-ayn, Shamsaddin al-Bukhari[Ahlwardt no.: 5082; Pet. 367]	Pet. 367
N63P9SSH	unknown philosophical work, Shamsaddin al-Isfahani, ff. 25-76[Ahlwardt no.: 5131; Pet. 546]	Pet. 546
6T1SEV6U	Muhakima bayn sharhay al-Isharat[Ahlwardt no.: 5053; Pet. 549]	Pet. 549
7D6M7BC2	al-Maqalat al-hisab[Ahlwardt no.: 5974; Pet. 669]	Pet. 669
ZPGFRTP4	Tahrir al-manazir[Ahlwardt no.: 6016; Pet. 671]	Pet. 671
B9T4EXVU	Sharh mukhtasar [Ahlwardt no.: 5679; Pet. 672]; Risala fi al-usturlab [Ahlwardt no.: 5798; Pet. 672]; Risala fi al-amal al-usturlab [Ahlwardt no.: ; Pet. 672]	Pet. 672
AZ1NUP3X	Sharh Hidayat al-hikma, Mulla Sadra; [Ahlwardt no.: 5072; Pet. 695]	Pet. 695
F5NE1DNR	al-Mauna; [Ahlwardt no.: 5984; Pm. 124]	Pm. 124
RUTRQK29	Risala fi bahth al-harakat, Muslihaddin al-Lari, ff. 39b-41[Ahlwardt no.: 5108; Pm. 369]	Pm. 369
WENDV4KM	Tashrih al-aflak[Ahlwardt no.: 5703; Pm. 396]	Pm. 396
21M7PW61	Sabab zuhur al-kawakib [Ahlwardt no.: 5671; Pm. 466]; an unknown philosophical work [Ahlwardt no.: 5061; Pm. 466]	Pm. 466
S1H0T1PE	Risala fi Tahqiq Nafs al-amr, al-Sharif al-Jurjani, f. 63b; [Ahlwardt no.: 5185; Pm. 501]	Pm. 501
C7A4KKCD	Risala fi Ithbat al-mufaraqat, Abdullah al-Ma’sumi, ff. 124-128; [Ahlwardt no.: no. 5058 & others; Pm. 578]	Pm. 578
G83V2RS0	Risalat al-Ma’qulat al-ashr, ff. 94b-97[Ahlwardt no.: 5142; Pm. 671n]	Pm. 671n
GGYEHHNT	Sharh al-Isharat, Nasiraddin al-Tusi; [Ahlwardt no.: 5049; Spr. 1803]	Spr. 1803
RX9HUV1A	Hikmat al-ayn, [Ahlwardt no.: 5080; Spr. 1805  ]	Spr. 1805  
CPKMQCKV	A collection of essays by various authors on the attributes of God, on Existence, and on Quiddity; S. 23 ff. [Ahlwardt no.: 5106; Spr. 1820a]	Spr. 1820a
SZY9KYP9	[Ahlwardt no.: 2306; Spr. 1820b]	Spr. 1820b
HS53Z9PE	[Ahlwardt no.: 2325; Spr. 1820c]	Spr. 1820c
43G98CS2	[Ahlwardt no.: 2338; Spr. 1820d]	Spr. 1820d
Y2W4N14N	[Ahlwardt no.: 2336; Spr. 1820e]	Spr. 1820e
GHD1VTNQ	[Ahlwardt no.: 2362; Spr. 1820f]	Spr. 1820f
6RAYXHT4	Risalat al-Aql, Ibn Kamal, ff. 109-116a; [Ahlwardt no.: 5363; Spr. 1820g]	Spr. 1820g
FUTZF8X3	[Ahlwardt no.: 2372; Spr. 1820h]	Spr. 1820h
YNAWW70Q	[Ahlwardt no.: 5162; Spr. 1820i]	Spr. 1820i
8DK7PK0M	Miftah al-hussab[Ahlwardt no.: 5992; Spr. 1824a]	Spr. 1824a
BAMHWNY6	Jami al-hisab; [Ahlwardt no.: 5973; Spr. 1824b]	Spr. 1824b
1RFXEXQH	Sharh al-yasaminiyya; [Ahlwardt no.: 5966; Spr. 1832, Spr. 1833]	Spr. 1832, Spr. 1833
Q35QUV60	Sharh al-tazkira; [Ahlwardt no.: 5681; Spr. 1844]	Spr. 1844
KEPCYY4M	Sharh al-mulakhkhas[Ahlwardt no.: 5675; Spr. 1847a]	Spr. 1847a
FB3PGKBR	Sharh al-mulakhkhas[Ahlwardt no.: 5676;3; Spr. 1847b]	Spr. 1847b
RV53M2M3	Natijat al-afkar; [Ahlwardt no.: 5710; Spr. 1863]	Spr. 1863
9T9Y1SRN	Risala Abi Mansur fi al-usturlab; [Ahlwardt no.: 5797; Spr. 1876]	Spr. 1876
41TS5VQQ	Risala fi ilm al-falak; [Ahlwardt no.: 5717; WE. 179]	WE. 179
EEFE45Z7	Hidayat al-hikma, ff. 1-53 [Ahlwardt no.: 5065; WE. 191]; Hashiya li-l-Lari ala sharh [Ahlwardt no.: 5067; WE. 191]; Sharh Hidayat al-hikma, Mir Husayn al-Maybudi, ff. 55-187 [Ahlwardt no.: ; WE. 191]	WE. 191
ZB6NW0EH	Jaridat al-durar ; [Ahlwardt no.: 5699; WE. 193]	WE. 193
ZWRFP1T6	al-Qasida al-Ayniyya, ff. 57a-58a; [Ahlwardt no.: 5346; We. 131]	We. 131
S667A2CB	Kanun al-hisab; [Ahlwardt no.: 5995; We. 1128]	We. 1128
6U0KT4R6	al-Fawaid al-bahaiyya; [Ahlwardt no.: 5976; We. 1129]	We. 1129
EU538CWX	al-Mulakhkhas; [Ahlwardt no.: 5673; We. 1135]	We. 1135
0UEMMFKG	al-Zij al-Qazwini; [Ahlwardt no.: 5762; We. 1142]	We. 1142
AY5NA86U	Sharh Hidayat al-hikma, ff. 61b-90; [Ahlwardt no.: 5071; We. 1177]	We. 1177
FFYAS96M	Ilm al-misaha; [Ahlwardt no.: 5945, 5949; We. 1713]	We. 1713
UKXT7XDQ	Tahqiq al-Kulliyyat [Ahlwardt no.: 5134; We. 1720]; Hashiya ala Tahqiq al-Kulliyyat, al-Sharif al-Jurjani, ff. 140-145a [Ahlwardt no.: 5133; We. 1720]; Qutbaddin al-Razi, ff. 135-139 [Ahlwardt no.: 5133; We. 1720]	We. 1720
G81YWDV4	Hayat al-ma’ani li-idrak ‘ilm al-Insani, Anonymous, ff. 1-16; [Ahlwardt no.: 5115; We. 1725]	We. 1725
5XA8H9C7	Risala fi ‘ulum al-haqa’iq wa-hikmat al-daqa’iq, Anonymous, ff. 15b-17b; [Ahlwardt no.: 5140; We. 1772]	We. 1772
CQD5YBZP	al-Musri [Ahlwardt no.: 5991; We. 1791]	We. 1791
9PDK3S85	Sharh Ithbat al-jawhar al-mufaraq, Jalaladdin al-Dawani; ff. 85-88 [Ahlwardt no.: 5358; We. 1811]	We. 1811
B47T3HY2	al-Kāmil fil-Asṭurlāb; [Ahlwardt no. 5791; Landberg 58]	Landberg 58
ERZHST5Y	[Ahlwardt no. 5666; Landberg 63]	Landberg 63
Y9YFECTM	Collection on astronomy and astrology; [Ahlwardt no. 5686 et al; Landberg 68]	Landberg 68
6QFP3KDP	Work on astronomy; [Ahlwardt no. 5664; Landberg 108]	Landberg 108
GFGNP6U1	al-Itḥāf bi-maʿrifat al-inḥirāf; [Ahlwardt no. 5719 et al; Landberg 110]	Landberg 110
CBDDYK1K	Collection on astronomy and astrology, inter alia Sharḥ Mukhtaṣar fī maʿrifat al-taqāwīm lil-Ṭūsī; [Ahlwardt no. 5811 et al; Landberg 131]	Landberg 131
33MZX7EA	Collection on astronomy and astrology; [Ahlwardt no. 5711 et al; Landberg 221]	Landberg 221
WPWUZ7PD	Collection on astronomy; [Ahlwardt no. 5861 et al; Landberg 390]	Landberg 390
88Z24N37	Risāla fī 'l-ʿamal bi-'l-asṭurlāb; [Ahlwardt no. 5809; Landberg 517]	Landberg 517
